utility_id,utility_name,plant_code,plant_name,street_address,city,state,zip,county,latitude,longitude,nerc_region,balancing_authority_code,balancing_authority_name,name_of_water_source,primary_purpose_naics_code,regulatory_status,sector,sector_name,ferc_cogeneration_status,ferc_cogeneration_docket_number,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,energy_storage,natural_gas_ldc_name,natural_gas_pipeline_name_1,natural_gas_pipeline_name_2,natural_gas_pipeline_name_3,pipeline_notes,natural_gas_storage,liquefied_natural_gas_storage
1307,Basin Electric Power Coop,7974,Chamberlain Wind Project,Hwy 50,Chamberlain,SD,57325,Brule,43.848529,-99.24757,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,"East River Elec Pwr Coop, Inc",5552,,69, , ,N,,,,,,X,X
9397,International Turbine Res Inc,10005,Dinosaur Point,1400 Dinosaur Point,Los Banos,CA,93635,Merced,37.0478,-121.1708,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,87-588-000,N,,N,X,,Pacific Gas & Electric Co,14328,CA,70, , ,N,,,,,,X,X
2719,CalWind Resources Inc,10191,Tehachapi Wind Resource I,16541 Tehachapi-Willow Springs,Tehachapi,CA,93581,Kern,35.060556,-118.389722,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,84-465-000,N,,N,X,,Southern California Edison Co,17609,CA,12, , ,N,,,,,,X,X
2770,Terra-Gen Operating Co-Wind,10586,Cameron Ridge LLC,10315 Oak Creek Road,Mojave,CA,93501,Kern,35.075,-118.3158,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-348-000; 86-1008-000; 86-492-000; 86-495-000,N,,,X,,Southern California Edison Co,17609,CA,66.6, , ,N,,,,,,X,X
2770,Terra-Gen Operating Co-Wind,10597,Ridgetop Energy LLC,10315 Oak Creek Road,Mojave,CA,93501,Kern,35.0697,-118.3167,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,92-55-000,N,,,X,,Southern California Edison Co,17609,CA,66.6, , ,N,,,,,,X,X
16630,San Gorgonio Farms Inc,10718,Karen Avenue Wind Farm,17550 Karen Ave.,North Palm Springs,CA,92258,Riverside,33.92194,-116.56222,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-121-000,N,,N,X,,Southern California Edison Co,17609,CA,34.5, , ,N,,,,,,N,N
11427,Massachusetts Wtr Rauth-Deer I,10823,Deer Island Treatment Plant,190 Tafts Avenue,Winthrop,MA,2152,Suffolk,42.353333,-70.962778,NPCC,ISNE,ISO New England Inc.,Municipality,22132,NR,5,Commercial CHP,N,,Y,89-80-000,N,,,X,,NSTAR Electric Company,54913,MA,14, , ,N,,,,,,,
20707,Wintec Energy Ltd,50276,Wintec Energy Ltd,Dillon Rd_KarenAve_Diablo Rd,Palm Springs,CA,92258,Riverside,33.9131,-116.5631,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,87-594-000,N,,N,X,,Southern California Edison Co,17609,CA,34.5, , ,N,,,,,,X,
16630,San Gorgonio Farms Inc,50281,San Gorgonio Farms Wind Farm,79 Dillon Road,Whitewater,CA,92282,Riverside,33.926111,-116.615,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-234-000;  85-235-000,N,,N,X,,Southern California Edison Co,17609,CA,115, , ,N,,,,,,N,N
56899,Wind Stream Operations LLC,50532,Victory Garden (Tehachapi),"19358 Jameson St.,",Tehachapi,CA,93561,Kern,35.0686,-118.3833,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,83-48-000,N,,N,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,X,X
63880,"Painted Hills Wind Holdings, LLC",50533,Painted Hills Wind Park,60105 Westside Drive,Whitewater,CA,92282,Riverside,33.9369,-116.6183,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,N,,Y,ER20-00071-000,N,,,Southern California Edison Co,17609,CA,220, , ,N,,,,,,,
63235,Brookfield Renewable Trading and Marketing LP,50535,Mesa Wind Power LLC,11001 Whitewater Canyon,North Palm Springs,CA,92258,Riverside,33.9461,-116.6769,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-738-000; 85-263-000,N,,N,X,,Southern California Edison Co,17609,CA,133, , ,N,,,,,,X,X
64156,Sky River Wind LLC,50536,Sky River Wind Energy Center,13000 Jameson Road,Tehachapi,CA,93561,Kern,35.2608,-118.2469,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,91-59-000,N,,,X,,Southern California Edison Co,17609,CA,230, , ,N,,,,,,X,X
64407,Huntsman Wind,50552,GPS Cabazon Wind LLC,19020 N Indian Avenue,North Palm Springs,CA,92230,Riverside,33.914986,-116.71026,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Southern California Edison Co,17609,CA,115, , ,N,,,,,,N,X
61208,"Red Marlin Wind Ventures, LLC",50553,Edom Hills Project 1 LLC,68580 Edom Hill Road,Cathedral City,CA,92235,Riverside,33.881667,-116.460278,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,06-117-001,N,,N,X,,Southern California Edison Co,17609,CA,138, , ,N,,,,,,N,X
2770,Terra-Gen Operating Co-Wind,50690,San Gorgonio Westwinds II LLC,19435 Ruppert Street,North Palm Springs,CA,92258,Riverside,33.934,-116.5781,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-188-001; 85-8-01; 89-344-001,N,,,X,,Southern California Edison Co,17609,CA,34, , ,N,,,,,,X,X
2770,Terra-Gen Operating Co-Wind,50754,Oak Creek Energy Systems I,14633 Willow Springs Rd.,Mojave,CA,93501,Kern,35.043889,-118.276388,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,99-66-000,N,,,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,,
