Predominant Turbine Manufacturer,Predominant Turbine Model Number,id,manufacturer,model,power_rated_power
GE,2.5-103,1293-ge-general-electric-ge-2.5-103,GE General Electric,GE 2.5-103,"2,500.0 kW"
GE,2.5-116,1837-ge-general-electric-ge-2.0-2.7-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.5-120,310-ge-general-electric-ge-2.5-120,GE General Electric,GE 2.5 - 120,"2,500.0 kW"
GE,2.5-127,1838-ge-general-electric-ge-2.2-2.5-127,GE General Electric,GE 2.2-2.5 - 127,"2,500.0 kW"
GE,2.52-116,1837-ge-general-electric-ge-2.0-2.7-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.7-116,1837-ge-general-electric-ge-2.0-2.7-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.72-116,1837-ge-general-electric-ge-2.0-2.7-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.75-103,747-ge-general-electric-ge-2.75-103,GE General Electric,GE 2.75 - 103,"2,750.0 kW"
GE,2.75-120,983-ge-general-electric-ge-2.75-120,GE General Electric,GE 2.75 - 120,"2,750.0 kW"
GE,2.82-127,1838-ge-general-electric-ge-2.2-2.5-127,GE General Electric,GE 2.2-2.5 - 127,"2,500.0 kW"
GE,2.85-100,749-ge-general-electric-ge-2.85-100,GE General Electric,GE 2.85 - 100,"2,850.0 kW"
GE,2.85-103,750-ge-general-electric-ge-2.85-103,GE General Electric,GE 2.85 - 103,"2,850.0 kW"
GE,3.6 SL,58-ge-general-electric-ge-3.6s,GE General Electric,GE 3.6s,"3,600.0 kW"
GE,3.8-137,2447-ge-general-electric-ge-3.8-137,GE General Electric,GE 3.8-137,"3,800.0 kW"
Goldwind,GW 100/2500,1196-goldwind-gw-100-2500,Goldwind,GW 100/2500,"2,500.0 kW"
Goldwind,GW 109/2500,1193-goldwind-gw-109-2500,Goldwind,GW 109/2500,"2,500.0 kW"
Goldwind,GW 121/2500,1192-goldwind-gw-121-2500,Goldwind,GW 121/2500,"2,500.0 kW"
Goldwind,GW 77/1500,106-goldwind-gw-77-1500,Goldwind,GW 77/1500,"1,500.0 kW"
Goldwind,GW 82/1500,1202-goldwind-gw-82-1500,Goldwind,GW 82/1500,"1,500.0 kW"
Goldwind,GW 87/1500,1201-goldwind-gw-87-1500,Goldwind,GW 87/1500,"1,500.0 kW"
Goldwind,GW155/4200,2246-goldwind-gw-155-4500,Goldwind,GW 155/4500,"4,500.0 kW"
Guodian United Power,GUP1500-82,292-united-power-up1500-86,United Power,UP1500-86,"1,500.0 kW"
Hyundai,HQ1650,306-hyundai-hq1650-77,Hyundai,HQ1650/77,"1,650.0 kW"
Hyundai,HQ2000/86,1178-hyundai-hq2000-86,Hyundai,HQ2000/86,"2,000.0 kW"
Kenersys,K100 2.5,760-kenersys-k100-2.5mw,Kenersys,K100 2.5MW,"2,500.0 kW"
Leitwind,LTW77 1.500,307-leitwind-ltw77-1500,Leitwind,LTW77 1500,"1,500.0 kW"
Micon,108A,562-micon-108,Micon,108,108.0 kW
Micon,M1500-600/150,385-micon-m-1500-600,Micon,M 1500-600,600.0 kW
Micon,M700-225/40,377-micon-m-700-225,Micon,M 700-225,225.0 kW
Micon,M750-400/100,665-micon-m-750-400,Micon,M 750/400,400.0 kW
Mitsubishi,MWT-1000,608-mitsubishi-mwt-1000a,Mitsubishi,MWT-1000A,"1,000.0 kW"
Mitsubishi,MWT-1000A,608-mitsubishi-mwt-1000a,Mitsubishi,MWT-1000A,"1,000.0 kW"
Mitsubishi,MWT-102/2.4,895-mitsubishi-mwt-102-2.4,Mitsubishi,MWT-102/2.4,"2,400.0 kW"
Mitsubishi,MWT-250,308-mitsubishi-mwt-250,Mitsubishi,MWT-250,250.0 kW
Mitsubishi,MWT-450,903-mitsubishi-mwt-450,Mitsubishi,MWT-450,450.0 kW
Mitsubishi,MWT-600 (45m),566-mitsubishi-mwt-600,Mitsubishi,MWT-600,600.0 kW
Mitsubishi,MWT-600 (47m),566-mitsubishi-mwt-600,Mitsubishi,MWT-600,600.0 kW
Mitsubishi,MWT-62/1.0,589-mitsubishi-mwt-62-1.0,Mitsubishi,MWT-62/1.0,"1,000.0 kW"
Mitsubishi,MWT-92/2.4,897-mitsubishi-mwt-92-2.4,Mitsubishi,MWT-92/2.4,"2,400.0 kW"
Mitsubishi,MWT-95/2.4,359-mitsubishi-mwt-95-2.4,Mitsubishi,MWT-95/2.4,"2,400.0 kW"
NedWind,NEDWIND 40,1090-nedwind-nw-40-500,NedWind,NW 40/500,500.0 kW
NEG-Micon,NM48/750,311-neg-micon-nm-48-750,NEG Micon,NM 48/750,750.0 kW
NEG-Micon,NM52/900,43-neg-micon-nm-52-900,NEG Micon,NM 52/900,900.0 kW
NEG-Micon,NM54/950,1005-neg-micon-nm-54-950,NEG Micon,NM 54/950,950.0 kW
NEG-Micon,NM72C/1500,151-neg-micon-nm-72c-1500,NEG Micon,NM 72C/1500,"1,500.0 kW"
