,id,x_coords,y_coords,num_coords
243,56097.0,"[-375596.14086478064, -375474.8390913241, -375327.7376441225, -373824.0509615937, -371094.8202663795, -375171.25569103874, -375209.99951522215, -370858.550423948, -374433.3083829787, -375407.22758264304, -375602.59463452507, -370994.80570651445, -373703.6700099409, -371318.84140494507, -375184.252589875, -375187.72867277765, -374727.80105488264, -371110.7590509825, -371869.9423284826, -373576.02591774636, -371168.6230887464, -371745.88193825935, -372110.7198447366, -375290.4630906352, -374170.31673623744, -371181.3247481057, -370994.7133952817, -371705.62119037495, -375691.65224018804, -374111.5944479706, -372783.1755199416, -370750.8995780669, -371633.91030344326, -374345.41301789146, -375232.4352450602, -373472.5264827596, -370809.3796304326, -375628.90170747554, -371021.194352859, -375098.29490275384, -371013.06935112085, -371808.25686703867, -371078.64950212324, -370840.1477851856, -371756.68761712476, -370814.60166757536, -375400.5119847083, -371241.25727331085, -371184.81125683786, -375716.917526403, -371024.9462030978, -371425.3431816247, -371493.3533008708, -373074.35153918207, -373495.0757125651, -374984.45161956875, -373587.87145100045, -375897.8812049613, -371230.76667776547, -371764.7018472821, -374543.62394191703, -375616.3870248316, -370752.4187478274, -375808.9995947152, -373498.08384784055, -375347.917252627, -371968.9410831531, -370921.7808589476, -372170.47953332856, -373937.46855047415, -371079.01164571557, -371877.4473036454, -371480.2892943702, -371805.3563399833, -371495.425696164, -375722.39544480696, -372503.0900268995, -370582.86678341374, -370681.35207260004, -375758.2559697128, -371393.7673627695, -370675.4747800006, -375416.06155311986, -371330.8177332796, -375904.07324906887, -371832.83613292174, -370665.1043880798, -375085.50200155325, -371657.08847065014, -370824.494911947, -372426.1953451311, -372693.2056602416, -374876.35586959333, -373740.6066831026, -373297.78807381296, -371887.77417749556, -373174.0433956018, -371131.4491886988, -371935.41068130103, -370735.05584602244, -370767.7731728405, -372846.7026495684, -373008.8628493702, -373679.90572526737, -374858.36322452, -371647.3468693805, -375889.38945144165, -372547.64350456296, -372433.2841594267, -372384.05938473524, -371814.4954088943, -371562.3651007821, -370516.9499005489, -370819.4898555342, -371466.3887713014, -371355.19680926565, -370991.8012926848, -375181.1563679322, -375366.96691592684, -371544.2927930983, -373620.37862604967, -372014.22565682593, -371719.57158389734, -375291.7466606361, -375538.3519952721, -371245.35328597546, -371752.4551824599, -375879.904831783, -370813.66609708813, -372021.30579777155, -370689.8812626331, -370843.0690705759, -370965.82875898125, -372292.4002324144, -370824.310236036, -371659.7924164805]","[-1150473.634096529, -1151283.216249598, -1150192.591235736, -1148541.062282266, -1144620.343198626, -1151696.3728846435, -1132706.2097688408, -1146352.418673999, -1149140.0098246958, -1151455.2480183668, -1131910.8997777973, -1141289.5263964317, -1147431.8182165965, -1141844.297829873, -1150299.7455987171, -1152755.2407116145, -1149148.253562603, -1145056.6112063294, -1142506.7586844037, -1148275.5074713947, -1140654.34435545, -1143564.297764442, -1147532.5767360239, -1132462.8783325448, -1149049.8461952778, -1146955.9267968482, -1140784.068282663, -1143266.2511225534, -1152441.996628702, -1148762.9061931837, -1147406.0586881167, -1146492.4978276694, -1142026.4326965243, -1133106.23525468, -1149552.1238644584, -1147977.9569050604, -1146139.4091126472, -1151192.5147207645, -1144785.4221568103, -1149260.282542564, -1145216.0716111222, -1147335.881783422, -1141119.29667754, -1145730.1964363935, -1142726.1955606653, -1140345.4093262742, -1132320.9266691555, -1140452.486192062, -1144461.6911066452, -1132251.0704288282, -1141598.5965869734, -1144233.2032669429, -1144068.2760819793, -1147273.2434179191, -1147753.0960613706, -1132819.461199207, -1147593.3977324003, -1153322.9429636712, -1137462.0779266104, -1134297.8659696293, -1132944.857185831, -1150695.6607942593, -1138659.1925566478, -1153765.9038648177, -1133826.8396565593, -1151625.6593166627, -1136377.5868023382, -1139725.269374233, -1133863.453706024, -1133006.538474862, -1137569.128266307, -1134084.753877095, -1147200.1621469122, -1136469.5828059977, -1135947.1940417187, -1131767.583594396, -1133244.2091487532, -1138059.4413940273, -1137920.5623235304, -1151083.9277884346, -1137375.1145702142, -1139443.3528981593, -1152272.0822528163, -1136791.7957100493, -1153628.032956528, -1135240.1545855033, -1138812.2884031923, -1150451.7620535986, -1143718.2439182606, -1138493.7358266832, -1147474.3647787105, -1132861.5719510356, -1149031.1034048153, -1133393.4148972041, -1133004.7923318858, -1135036.5738789977, -1132640.0923356828, -1137078.892995951, -1142285.7215957528, -1140030.7056597034, -1145890.5537036585, -1132782.3442372237, -1132708.1318155723, -1133703.8703843884, -1132996.1163040828, -1136558.8688633558, -1153032.7114415264, -1132945.9612747333, -1133428.2156571166, -1133599.8121625811, -1134606.009859679, -1137268.916383483, -1138222.8286410386, -1139874.4215030633, -1136652.9073115506, -1144395.5699382839, -1145422.6787243926, -1152021.5799282426, -1149950.0672869491, -1143867.9003187846, -1133044.6336006594, -1133960.2094783871, -1135375.8790979167, -1152594.5460422507, -1150854.2249753415, -1136940.1559313312, -1134776.9926175224, -1152717.5769860868, -1137803.4685864993, -1135694.0407439654, -1139127.1648190278, -1145520.2502551735, -1137707.8271632178, -1133750.1508327436, -1146796.5034793813, -1142952.057200005]",136
244,61582.0,"[-1653126.985577852, -1654694.814532985, -1653442.851178857, -1651067.302815235, -1652581.7108181135, -1652542.4921339003, -1653051.5306132506, -1653836.5296091659, -1650920.4414886995, -1651049.481992458, -1651544.58479393, -1653196.7311020584, -1653316.3254873643, -1650551.355389685, -1654836.754971523, -1654045.780401455, -1651981.2471256594, -1653629.0999776763, -1653436.470355252, -1654772.6765384455, -1653584.3001580513, -1651868.687576293, -1652706.985774415, -1652813.559951386, -1652426.9674913702, -1651291.0594900455, -1652246.5518675253, -1652934.3198363846, -1652345.7445940392, -1650408.6984325773, -1652265.0789275314, -1652612.7267560046, -1653563.8261471184, -1651520.077719349, -1653488.7413277857, -1651503.338976162, -1653447.4451685185, -1650818.6720872398, -1652045.586476136, -1654301.2800660725, -1653352.073348177, -1653884.7483246105, -1652250.488560093, -1651754.2468735052, -1650708.3310506104, -1650842.7091423802, -1654377.016090189, -1652764.1825620856]","[-922599.0485424149, -922134.7526564479, -921972.4809544823, -923522.9471024028, -920015.6249206495, -923798.9741992375, -923486.6621287974, -922107.9845547897, -922436.0943515023, -922563.3304024367, -922184.3917108444, -923566.726997129, -922662.600853737, -923151.5889683863, -922703.3418400877, -922360.8874791117, -923328.1202368143, -922843.0766264168, -923987.8468788958, -922405.9422213666, -924618.534495429, -922347.1345000782, -922266.4386969527, -922394.1804032368, -919944.1777430614, -923475.6116156318, -919914.1139179255, -923247.9104552049, -923102.587913964, -922403.0888724907, -922778.0725426938, -924003.6509190041, -922108.3154118005, -923425.8501726763, -924293.7862736102, -922960.1425815773, -922789.3469917339, -922257.6622103311, -922793.5921792177, -922369.9448879524, -923744.110223758, -922938.2302309908, -922145.133500598, -923373.5726596704, -923223.5002845286, -923573.5396899292, -922705.1357014788, -924560.429600689]",48
245,61584.0,"[-1652455.2146283714, -1652774.4302503623, -1652836.0633961246, -1652824.9623480833, -1651875.200710775, -1652753.6530316232]","[-923309.8695040402, -923208.1619388472, -924773.408157262, -922682.7149046612, -922725.5872189038, -924136.9052818674]",6
246,61443.0,[-1897064.3404215989],[-699220.17641226],1
247,58099.0,"[-1543676.255098658, -1543534.1252939901, -1544126.6372234004, -1546722.6579626705, -1548028.742147854, -1548237.2830142216, -1545068.5106133183, -1545378.033440523, -1547226.0966296138, -1544584.6097384293, -1545371.5221309161, -1546118.3607195471, -1546458.6042601694, -1547384.9841189792, -1543738.2759902824, -1548157.150768596, -1545618.2922319046, -1547066.5019646639, -1544346.7448555937, -1546280.1783476563, -1544524.6486926426, -1543551.3341947237, -1545350.1140267428, -1544551.4608778597, -1548331.4509973591, -1544753.8839222745, -1545857.35677457, -1548395.6154774071, -1547412.304434157, -1547949.4747830513, -1545064.7150530964, -1544998.7595067606, -1548656.0891277853, -1548758.1348175318, -1548475.6700317943, -1547698.5809539931, -1548638.1575130292, -1546915.839358481, -1546364.1030811854, -1545224.0574654138, -1545540.0942074603, -1548694.1825208508, -1545628.357230354, -1545745.9271453568, -1545353.919043824, -1548285.5186657892, -1545752.2012787338, -1547884.7273847414, -1548793.2063972505, -1547795.4935362844, -1546976.633508088, -1547975.3149559936, -1544460.9869113239, -1545414.9870591464, -1546898.7354029634, -1544148.0683588071]","[252626.29631373353, 253223.86911385958, 257728.00781656796, 248991.75742444495, 251392.40089455672, 250676.43413876195, 250968.5795663634, 255137.5282682251, 255063.4776194526, 251130.93781789826, 250703.63192652323, 249878.56427498852, 249318.7537762365, 254490.08989984263, 253639.53554902584, 251022.06761392398, 250405.72033578643, 255319.4531753643, 257544.49181632322, 249582.17841323643, 257297.25207055043, 252900.02451513184, 255448.00743213866, 256986.49043610075, 250333.02836059075, 256728.78736225952, 250140.99615910716, 250009.31207422054, 254765.0757088885, 251708.29337984908, 255961.9893246299, 256429.0301961422, 254565.31617803348, 254258.41640853308, 255859.6429458626, 256530.11488136192, 255528.1851412637, 255970.39199482722, 257044.15817471445, 258257.59475692164, 259251.2071288565, 254888.57437929593, 258988.41982721598, 257276.2975867101, 257945.94036021104, 256316.44421194328, 258588.2182936135, 257493.88459126698, 255242.47844712215, 257815.1964218418, 255643.60621707738, 257122.24479869727, 258994.48072890023, 259565.35617916984, 256903.79854501557, 259533.07232395353]",56
248,63205.0,"[-1698390.1189998465, -1697956.419038907, -1698518.7878942462, -1696590.398954214, -1695836.5718610673, -1693601.338290917, -1691167.0717409044, -1692079.0448626387, -1688841.4208334251, -1693721.4263247561, -1697813.7298454284, -1695277.2383734402, -1696227.3162933546, -1695935.2368526978, -1688649.1941569974, -1689450.313620141, -1690261.6394988315, -1691443.0271707636, -1688343.6529605642, -1692236.0085275758, -1694933.4238130434, -1695444.2593763554, -1689616.5553360733, -1694272.570621172, -1690645.2344910386, -1690921.66744226, -1694760.157854093, -1694735.0564644272, -1693751.3496580976, -1693189.3896770638, -1693996.6925724784, -1691627.6366458267, -1692878.695583448, -1696350.151612456, -1696546.20719092, -1697497.8830725795, -1696115.8464559251, -1689209.5273952517]","[437350.0960295279, 437185.1421386365, 437633.5326124464, 435503.8380414752, 433457.1091487631, 430119.57475758693, 428887.77480756905, 429917.478118853, 427010.1972310766, 431164.23453091574, 436831.601969067, 433083.4544727748, 434486.95258154545, 433846.24548530456, 426750.55311495246, 427649.87040666695, 428350.28012829454, 429020.3849698046, 426585.04746864154, 430241.8593147075, 432832.48092941893, 433372.13655326585, 428240.06492273137, 431593.73034742184, 428463.8070624012, 428704.00701753155, 432402.65622157545, 431787.86016810813, 430413.910966394, 430047.9110669773, 431434.62654992996, 429441.59723380295, 430170.54205601156, 434766.3322652587, 435117.6860500442, 436568.11171084334, 434141.7708505309, 427396.10739042616]",38
249,56843.0,"[-530273.5670288755, -530800.5851286034, -531893.825276797, -531579.7167546484, -527222.1748990465, -527378.9741018589, -527443.842714734, -527367.2089934492, -530306.1157739989, -526286.2533718961, -527491.9334747717, -526631.8559865172, -525976.1923156254, -531592.4189629571, -526705.8944418603, -527498.892478387, -526682.4101164585, -525945.1800522035, -525932.6154422029, -530007.4254817275, -526670.6676119807, -527310.2128639505, -529776.576765479, -525992.9208185708, -530354.9542140667, -530912.2323690249, -531661.2963255749, -527395.8069959134, -529806.2530046423, -529717.0487486469, -527410.7452791034, -529769.3781065001, -527478.0002637514, -531733.5550274582, -529725.0118865554, -527511.7032313823, -526655.3429549532, -530238.4514224046, -530787.4585084773, -527417.618280067, -529803.9512225228, -526274.5241554586, -526643.5995846585, -531614.458659902, -529744.2195293077, -526221.3204179084, -526694.1523930855, -525956.084815766, -526717.6362627803, -529747.7302520081, -529889.1459852215, -526330.5153383601, -527227.4126121086, -529768.1708173003, -526173.7821185009, -527479.1350218839, -531427.6634881533, -530825.3881874608, -526620.1121605311, -530326.7748009022, -531489.1916616277, -531441.2020844793, -530455.0938606339, -529762.9167533147, -527447.3366000743, -526618.8841660732, -526667.0860973996, -526318.7866369163, -530375.5607398971, -525989.1790075992, -527316.1090016391, -525950.1837504612, -525938.4514779734, -527398.9804429383, -526216.9250129331, -525961.9157953752, -526193.6737244328, -527355.4436568444, -527429.737157083]","[-316304.6012928442, -316980.0345540902, -317398.46475537913, -316441.2464207008, -322272.15543252195, -318209.68821800913, -318840.4938847896, -318054.40093804064, -316150.9683131417, -321954.2807505896, -319149.1524020761, -319729.52385758667, -318184.8310837628, -316607.5092133236, -320817.17439869273, -321212.845098867, -320506.5988106139, -317774.4242040469, -317608.1538859397, -317003.09612432204, -320351.31096210727, -317735.390200688, -317899.3155211468, -319176.52509088203, -315812.06072362873, -317464.5666674634, -317070.7376713747, -321823.155265749, -318946.16383456317, -317558.3082639427, -318519.61992452823, -318245.88495311956, -321370.6771870297, -317254.85615403566, -318427.66294677195, -321055.64285597054, -320040.0997878839, -316457.2078481947, -317139.39811654226, -321676.29814279, -317718.7562062958, -321798.99260240066, -319884.8118408407, -316896.00112716836, -317366.38390172465, -321646.9298881968, -320661.88662281784, -317918.73216523754, -320972.46213821624, -318069.27824457566, -319162.715107539, -322430.4847278082, -322115.54511672416, -318770.39844249014, -321126.2395967405, -319306.3550053372, -316073.934298786, -317304.1259615053, -319574.2358381439, -315981.64231414784, -315901.8350405553, -316251.1780314845, -315491.77672483376, -318592.3961257765, -321517.778639788, -319423.1498245445, -320195.38769869227, -322275.19670223544, -315643.1845999098, -319009.56917172344, -321974.52320248104, -318610.829625766, -318455.5405908317, -318364.3327267901, -321480.0257112622, -318766.1186246545, -321280.8931859936, -317899.1136221707, -318679.4758827454]",79
250,63803.0,"[-266027.1553510559, -255527.9777023854, -268250.735284635, -261825.72480069316, -264162.3155800646, -254423.9265590946, -257663.41295734028, -256756.22998539353, -265993.5078628359, -258671.8709026519, -256533.7170503853, -257474.06881962306, -256879.7121933445, -256365.79624997, -260794.49817663553, -259609.93057040256, -261301.91880065686, -259785.0719292269, -257190.0274916609, -260244.65338592065, -258362.68941942957, -266244.0911550165, -269182.42711981904, -268219.5875544851, -266412.30532394286, -256377.49484452562, -263415.88150416745, -256426.2075225314, -255225.52194338708, -269434.16006740986, -268858.06372968643, -261358.11774349574, -261842.94706074914, -263502.68527820613, -263843.6658949469, -262731.2853411062, -255046.20740716887, -258169.09020831413, -267523.95662763197, -267815.497033991, -256807.13270143323, -267081.298044102, -259947.98134136235, -255876.96221695506, -254541.15625344825, -265961.13404362666, -266555.4889861779, -258553.33086048535, -262258.346468813, -265010.69733134494, -264976.78610380547, -259145.92556698134, -268672.67298113013, -264998.27789195, -264486.96164488146, -269818.0636245495, -257922.8220044324, -252780.1701650798, -253119.66327172762, -256085.5335729997, -253900.38430709357, -255617.12453010565, -262223.3596358724, -257788.04549746047, -265921.25845815556, -264288.4866147097, -253467.46963593035, -258044.75590909392, -254801.06227947227, -254532.54162679016, -255098.0371485475, -254052.58265965543, -258758.21620504034, -255897.20608504457, -255874.67955469992, -266637.4639944523, -266988.5137483637, -264571.3098912899, -265053.67417058826, -253961.0428058997, -254737.1913983516, -259294.71308953394, -260684.87561145992, -255514.5443155334, -269034.4038062252, -258569.6530684489, -260886.53626542882, -253570.78476111757, -260611.55599361053, -268640.5475456074, -260497.13628800804, -269504.20250502485, -265538.89214440435, -256880.41472478994, -264427.42316891224, -258520.26072254282, -263041.2225740106, -263009.4870660896, -259830.61930412828, -260174.37233107377, -260333.05810844316, -262652.11810446106, -257583.68403428438, -259178.26080915818, -257030.1483304658, -257334.42083780697, -259461.01264327898, -259015.1612294169]","[-649726.3908048471, -657245.6976041518, -654687.1792429322, -651704.665941579, -649290.6834252586, -649596.7043116143, -647269.3998481937, -643708.0495576401, -654447.693248988, -654032.4683445122, -656791.011585651, -656707.37299779, -646589.8892557874, -649773.107716243, -655420.4936600036, -651638.0876646329, -651566.9313055178, -655484.9576393603, -644277.9837622761, -646709.449194135, -645738.3238659609, -653201.1938928373, -651932.55237568, -651846.4369722445, -657508.4067691972, -643476.9849018542, -652935.3874389171, -653355.3853528415, -645441.9846873847, -653913.6854050276, -654488.982197792, -655210.0810842866, -655223.7683021923, -655932.160434642, -653304.2258388739, -652140.4832223568, -649335.5681333744, -654011.9925218177, -654679.9383368084, -653385.279857265, -650049.8412912191, -657102.4810982529, -649898.9993395774, -657592.3482151566, -647943.4151242459, -656479.1889347862, -654439.9767544803, -651582.0802754699, -651970.0584563497, -654287.3006458725, -652578.2205879105, -651455.1366675756, -651954.9783740615, -649721.9939223843, -655881.5497609198, -656937.0143769872, -651601.3117446537, -656825.2224628576, -657148.5528994104, -645831.4306525127, -649713.1521328039, -645525.5067439759, -655462.1750920868, -653731.059351434, -655340.5978051132, -653669.4125454356, -657445.3482814607, -656450.3004500576, -645146.6706761633, -657221.2312902836, -657060.8230109069, -647803.0288372586, -646185.2940053671, -649719.8132319978, -653667.1142152617, -656042.9091080966, -654707.5267456395, -654079.9962081327, -655763.6430633587, -657461.4866214094, -653268.7927905193, -646473.7776241921, -651711.5010311241, -649400.2616731878, -656058.2592820213, -656378.8664711061, -650037.1024544489, -647864.524951758, -647583.026454857, -655689.3354811869, -649779.9553595984, -656369.6333589084, -654295.6910349436, -653480.2953146904, -651693.6786316001, -647576.4377158936, -652613.81376142, -655925.6685790659, -646476.8375605658, -651711.3460185439, -655319.7576569662, -655609.6635053044, -644422.7835192381, -655957.1905406831, -656636.6913776025, -653621.7434562276, -647790.5426136375, -647628.9401040858]",108
251,62445.0,"[-392412.20296715817, -391082.55657235865, -392710.3002645231, -385718.446074527, -391602.40977369307, -390884.1832916131, -390588.61112973647, -385840.3118181603, -387538.25373513764, -387475.9738454154, -386017.6402415368, -387870.9473452929, -390218.1944048259, -388143.49236118514, -387539.0316012995, -387602.2298058833, -390757.119244152, -390831.402008978, -387468.4520915815, -390730.6683236071, -389814.67255667865, -390809.3160445951, -387723.90253568254, -386326.7687298314, -390783.71141654, -390834.0379462856, -386700.1091223967]","[-795054.6177780014, -794383.7296885023, -794677.4141288404, -794854.0723406305, -794205.1046476496, -794831.491069359, -795273.8453903819, -794278.5351612935, -792945.1222845977, -790792.0356045075, -793752.3280641749, -791834.7221158082, -793135.0005887363, -791458.2728254956, -790284.9098770011, -789779.1082204371, -789779.1272670369, -791816.2284169436, -792073.1611973122, -789246.5886273193, -793705.5615892517, -790830.1193794496, -789383.831080295, -793404.9431096324, -790314.547355522, -791327.9501122814, -793118.1960915555]",27
252,62952.0,"[-202352.78630511407, -193631.52825733201, -190894.85705236383, -192464.89954208906, -201352.18848909516, -205072.93114475743, -203921.70824790368, -197328.2552269582, -204548.32353025055, -206032.1939929037, -192011.42273861027, -194428.08162072473, -211113.9191862477, -193260.98827425917, -204955.15985992778, -203983.78056343217, -201365.30433349017, -212509.6860805378, -207300.12807427932, -203295.70577870568, -196819.37146064723, -211950.05072901945, -194090.095479622, -206403.78303124034, -193171.93869974228, -209035.5728920629, -198914.76688120086, -197350.7712378871, -198458.96790997917, -192757.87645044606, -191450.51946617966, -192047.14564895304, -200867.62437810123, -190801.84054109128, -204473.968569938, -209637.09951460542, -208267.2968125841, -210628.35042346292, -210146.69345689015, -210912.89723641906, -196431.40831392823, -199497.305278146, -210922.66278938515, -196747.00439900366, -200008.09969307375, -201784.34253424624, -211959.44715621683, -198968.3676629512, -194547.50074826193, -198005.78081952073, -203844.44516515054, -200397.6403144871, -194975.45312104496, -200885.5858795463, -202819.7221338325, -205529.72053758276, -209702.9703213617, -199887.83465574484, -197830.22151035458, -205901.13830966438, -203338.51097130557, -212971.12640324945, -204262.16629029185, -211451.6874628348, -205391.06442862406, -209213.9787503024, -201893.22899382687, -211997.85043169063, -197896.05551981984, -210161.8881175596, -211468.38316044846, -207784.4439129065, -206517.28287546145, -195246.87272606618, -210366.25789745833, -203176.22248750643, -198369.64165252668, -202717.71572394, -193590.7649710218, -194037.45661552504, -212350.95580057814, -204964.2215042346, -202242.2824623791, -199368.8598313147, -193930.98166768329, -194477.70643075404, -195422.66335567203, -202723.6457958363, -200637.89326474842, -205518.39490455083, -193607.78997134898, -193203.15245435742, -190509.72436947247, -194940.8226522517, -195584.8024697466, -207812.45492840974, -190726.22574341527, -208758.9028353571, -202295.71869005877, -196736.67350879338, -201758.24823847317, -193985.78103410592, -194941.73632640092, -201013.8290901644, -191416.95651400584, -205987.06148033342, -190972.2240947762, -191940.5012059487, -195905.1667142463, -195751.07426538633, -209386.6812986384, -191869.0723800596, -196242.93727581587, -194994.68283411753, -193050.28181048686, -194439.35264878548, -191346.97308829342, -203216.36279581123, -208879.62068491935, -192805.0335886303, -208426.6170395907, -193951.69272339606, -195107.40446466862, -192464.59182943907, -200277.09407559232, -191287.4520456726, -190258.80874123538, -196246.4993138292, -201453.97586928934, -199412.50434998408, -196687.76367320927, -199872.5302144309, -207165.59528541437, -192363.75683745337, -213007.623594346, -177272.9284001371, -186055.69920621763, -180397.93486596743, -187930.50705101856, -189650.81871852715, -181370.1616969512, -180862.65765953014, -194306.58056577187, -184774.9629369975, -177952.60454701213, -183426.03398623597, -194043.34543663554, -193221.3031979055, -191215.7758075485, -183785.60133523517, -189280.1854620041, -192789.91887942774, -195005.0918045173, -177124.64905075426, -179713.26321470423, -191836.64701509412, -185509.59324994066, -185081.23138276945, -177621.2382647641, -182790.34884537655, -184351.9605523355, -192712.28360682537, -182129.28194992908, -190100.93962264192, -190978.0783663212, -179448.5799760967, -178352.9220532761, -188347.92116455344, -193967.04785636778, -178843.19333226842, -181850.37858169648, -188824.0087826166, -191695.11507886427, -192182.64335165574, -190242.27603823086, -184460.6859926423, -183932.42246548412, -188273.5836388227, -183897.45652568224, -183448.43868657885, -182034.0713183898, -191338.73568962293, -188746.82011298512, -180242.45088313596, -193772.6111017987, -181307.3453278598, -193808.1906749207, -183521.61529020712, -181662.10444952824, -191813.0969781817, -193306.18493903548, -183060.3942025428, -182903.3152493285, -181135.74343075466, -193235.2084689613, -187874.91136408527, -189479.7146160637, -192768.2560965455, -180673.91469641528, -182594.1456882098, -191914.85569336909, -181604.2745570091, -181855.93575423688, -192294.74455126515, -182327.71730087115, -192205.0159712233, -190409.94198709694, -189888.44623638937, -193124.4631040109, -198507.55052848737, -197362.3124390201, -199011.72756339677, -194784.5384906679, -196191.3591767382, -192593.14902535084, -198596.1954095005, -197583.80063066864, -196847.16647238832, -196334.5704451639, -195933.05476403885, -199400.6502388768, -196700.98693206572, -195259.64937687665, -197490.28137029952, -198115.27985415945, -193669.2694826678, -194307.3671188631, -197997.37204877078]","[-660869.2518324994, -658810.6828710366, -660063.6745075034, -658860.6716520592, -661966.9811153274, -664512.7949221458, -664531.0651130643, -659294.538934668, -664649.8212525247, -665742.8055500039, -660086.050607237, -659532.5226935003, -665726.986899113, -660585.7171000772, -661123.083347263, -662956.1613420832, -660818.9765046258, -663006.0209186608, -665879.7153136045, -661497.809263177, -660336.2351596482, -663114.5219119049, -658833.8684772517, -664124.6756621501, -658770.9425069507, -664128.8102741583, -660756.1866008429, -660821.2699740428, -661855.4091127273, -660525.8975275913, -660140.8876986396, -661839.1437858377, -661970.7516474688, -661851.5084997143, -662843.4802744681, -664119.977506356, -665787.4707816836, -665700.8824557617, -665816.2838650424, -668794.4576006981, -660059.8827951213, -658559.2095951781, -664140.2950977392, -661898.992901229, -658558.1268239106, -658676.3621036211, -660040.2441296593, -658491.655510661, -661156.6053105806, -662046.7616755418, -661329.2959486421, -660545.0415382477, -661319.6573438405, -660675.9663917503, -661494.6928046312, -665727.5072618866, -666061.4229991785, -660559.2292005332, -659284.9670764566, -664099.1908907016, -663441.9261965186, -660622.4264228836, -661077.1378901764, -666042.4866253339, -664112.5454352836, -665911.2241994607, -660515.5431126527, -665753.1138891216, -660494.4399775254, -664165.8867261481, -668832.8291148492, -665860.3075393033, -665752.2350576122, -661761.115798545, -668740.5645364601, -658657.0482786463, -660733.5812401912, -658663.6586718903, -660965.8983148255, -661166.1616002478, -660422.0015620511, -663051.6164783927, -658674.4933652338, -660580.0784922624, -653149.144545062, -656265.4130811668, -659818.2940733582, -664753.5554102847, -666651.6280710758, -667485.7220911301, -657153.4489522574, -654733.4471882844, -658997.0643532699, -658118.8374996054, -653099.6345834598, -667660.6258782458, -657051.6282415142, -665768.8972367661, -665028.7838278082, -658238.5588129682, -666603.8753375487, -656815.635663353, -659694.9232369573, -666355.9605846629, -656581.888374612, -667469.8854667856, -657732.1023514572, -658898.353406727, -659998.8044264248, -658272.240671702, -667434.039844238, -656331.6446769272, -656264.8645637133, -653204.2248169663, -656867.0429273485, -653199.8372531232, -658780.7504964942, -665051.5084071066, -667470.8763057007, -654197.7699261241, -667793.3013788762, -654811.5996180396, -656486.8693874292, -656688.334249962, -666398.1580007675, -661842.4997067227, -656987.6948216986, -658316.8368257867, -666214.0088228349, -666223.4116585815, -656093.3898336908, -666135.5539194039, -667658.9349144083, -654013.4033403599, -663102.3990262968, -654783.0041069192, -659029.3832092778, -654051.7851869705, -657992.3483057716, -659057.8761415944, -654118.8441417099, -654156.1900646052, -667827.9974656218, -657916.955738553, -655506.1654640655, -656292.8082144228, -667403.7301653419, -667446.1663670128, -667003.4681189698, -656595.8988661773, -658828.23835243, -663745.3966505638, -663710.7018751777, -653996.3746034864, -654210.1414420209, -663778.0946572534, -658660.7863982053, -658412.4297522153, -655099.1144729218, -656326.7794110717, -657587.434091368, -667091.9879120842, -655829.1031363069, -659009.9950196288, -663797.9329885197, -655901.6549551164, -655814.5101241954, -658329.698795344, -663762.0876595065, -655792.9936718476, -654977.2136366399, -658663.4854012323, -666993.6099357761, -667098.9239145397, -663760.6562486463, -662096.2241166861, -661515.5372342, -673558.1374565953, -659198.4420058077, -661318.161575043, -658872.4884050227, -673164.2685920708, -673551.3150570784, -656807.7174828576, -671146.9741503148, -660439.3123267599, -669480.5647209231, -658856.7790020666, -658522.1901540548, -673099.5600210297, -669463.616247311, -658308.3115472301, -661102.7574615687, -657034.4338350444, -671590.2093575152, -673316.8213099128, -673538.8623547493, -671786.2346634524, -657142.7054135563, -658673.9890229681, -671496.746546583, -656874.3060085054, -660583.0953773067, -671778.1131249847, -660661.4652275047, -673515.0272032083, -674040.674368865, -674049.3206666069, -673819.713654298, -668327.8660781354, -671761.8488350667, -669212.0247870232, -670217.4168591336, -669927.6192677118, -673802.9358731388, -670688.9090635636, -669801.797590965, -671779.384057107, -671795.0354741003, -671423.370995184, -669530.8799761183, -669932.7175368567, -671687.8259636065, -668082.5484276803, -670697.4842544285, -673818.2047688252, -670218.5279451585, -668144.4997703155]",228
