Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
60520,SoCore Energy LLC,60958,Nesvold Watertown Solar,MN,Carver,PV3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,1,2018,,,,Y,,,,,,,180,25,1.4,Y,,,,,,N, ,N, 
60520,SoCore Energy LLC,60958,Nesvold Watertown Solar,MN,Carver,PV4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,1,2018,,,,Y,,,,,,,180,10,1.4,Y,,,,,,N, ,N, 
60520,SoCore Energy LLC,60958,Nesvold Watertown Solar,MN,Carver,PV5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,1,2018,,,,Y,,,,,,,180,10,1.4,Y,,,,,,N, ,N, 
60597,"Violet Solar, LLC",60961,Violet Solar,NC,Cabarrus,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,5,5,12,2018,,,,Y,,,,,,,180,20,7.7,Y,,,,,,N, ,N, 
63249,Terraform Arcadia,60962,Red Maple Solar,MN,Le Sueur,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,6,2018,,Y,,,,,,,,,0,25,1.3,Y,,,,,,N, ,Y,1
63249,Terraform Arcadia,60962,Red Maple Solar,MN,Le Sueur,PV2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,6,2018,,Y,,,,,,,,,0,25,1.3,Y,,,,,,N, ,Y,1
63249,Terraform Arcadia,60962,Red Maple Solar,MN,Le Sueur,PV3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,6,2018,,Y,,,,,,,,,0,25,1.3,Y,,,,,,N, ,Y,1
796,Arizona Electric Pwr Coop Inc,60964,Apache Solar 1,AZ,Cochise,AEPS1,OP,Solar Photovoltaic,PV,Electric Utility,1,20,20,20,10,2017,,Y,,,,,,,,,90, ,24.7,Y,,,,,,N, ,N, 
59462,"Heelstone Energy Holdings, LLC",60965,"Cotten Farm, LLC",NC,Lee,COT,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,4.9,4.9,11,2016,,,,Y,,,,,,,180,20,6.8,Y,,,,,,N, ,N, 
63249,Terraform Arcadia,60966,Lind Solar CSG,MN,Carver,S0222,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.9,4.9,4.2,2,2017,,,,Y,,,,,,,180,30,6.1,Y,,,,,,N, ,Y,4.8
60584,Onyx Asset Services Group,60967,Onyx - Lamphear Road CSG,NY,Oneida,10016,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,10,2016,,,,Y,,,,,,,180,20,2.8,Y,,,,,,N, ,Y,2.8
58468,Dominion Renewable Energy,60968,Scott-II Solar LLC,VA,Powhatan,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20,20,20,12,2017,,Y,,,,,,,,,180,45,28.3,Y,,,,,,N, ,N, 
