BusID,Name,Latitude,Longitude
10341,TL-1,35.131458,-106.54944
10343,TOME,34.659832,-106.735827
10344,TOME,,
10345,TRAMWAY,35.152955,-106.497701
10347,TRUMAN,35.072571,-106.58699
10349,TRUMAN_T,35.072571,-106.58699
10350,UNITED,35.399537,-107.836827
10351,UNITED,,
10352,UNM_1&2,,
10353,UNM_N,35.087242,-106.619152
10355,UNM_T,35.087242,-106.619152
10357,VALENCIA,35.587234,-105.24864
10363,WAYNE 1,35.178862,-106.629242
10365,WESMECO,35.049959,-106.644907
10367,WESMECOT,35.049959,-106.644907
10368,WESTMESA,35.11533,-106.725791
10369,WESTMESA,35.11533,-106.725791
10370,WESTMS_1,35.11533,-106.725791
10371,WESTMS_2,35.11533,-106.725791
10372,WAYNE 2,35.178862,-106.629242
10375,WINGATE,,
10376,WINROCK,35.094404,-106.559964
10380,WYOMING,35.159664,-106.561447
10382,YAHTAHEY,35.593525,-108.815805
10386,ZIA_1,35.632673,-105.999811
10390,RIOPUERC,35.3279,-106.856477
10393,LEF,32.300002,-107.784065
10403,CABEZON,35.74458,-107.133445
10404,ACOMA_TAP,,
10405,ACOMA,,
10406,CABRIO11,,
10412,FIRST_ST,34.657276,-106.769108
10413,JARALES,34.611208,-106.767967
10414,JARALEST,34.611208,-106.767967
10416,LOS_MORR,34.824135,-106.765696
10418,FRST_STT,34.657276,-106.769108
10419,KEWA,35.469795,-106.302781
10420,FC_SOLAR,,
10421,FCSOL_C1,,
10422,FCSOL_C2,,
10423,FCSOL_PV,,
10424,FCSOL_C3,,
10425,FCSOL_BE,,
10440,ENCHNTED,35.337444,-106.583659
10444,LSTHRZNT,35.071066,-106.860233
10445,LOSTHRZN,35.077584,-106.86465
10455,VOLCANOT,35.076163,-106.717521
10456,VOLCANO,35.076163,-106.717521
10457,AN_TAP,35.69395,-106.084174
10460,RANDLPHT,35.053286,-106.624681
10461,RANDLPH,35.053286,-106.624681
10463,ROY,35.2019,-106.591267
10465,SCENICNM,35.167108,-106.727345
10466,SCENICNM,,
10470,PRGRSS,35.37,-106.56
10472,PACHMANN,35.310838,-106.616077
10477,CB108A,35.225571,-106.653477
10478,RIOPUERC,35.3279,-106.856477
10479,IRIS,35.303775,-106.627334
10481,ZAFARANT,35.645742,-106.013621
10482,MGLLUJAN,35.662883,-105.990834
10483,VERANDA2,,
10484,GALLINAT,35.641996,-105.243582
10485,AFTONS,,
10486,AFTONG,,
10490,LB_INT,32.349116,-108.697866
10491,LRDSBGG1,,
10492,LRDSBGG2,,
10494,DEMING_E,,
10495,DEM_GOLD,,
10497,HERMANAT,32.275977,-107.772998
10499,DEMTAP1,32.273941,-107.760422
10500,DEMGOLDT,32.273941,-107.760422
10501,CDELRIO,35.688584,-106.079579
10503,ZIA_2,35.632673,-105.999811
10504,DEMTAP2,32.277118,-107.761299
10510,AIRPOR_T,32.303835,-106.95653
10521,SNOW_VISTA,35.045276,-106.73694
10522,SNOW_VISTA,,
10532,BRITTON_PNM,35.012779,-106.095964
10533,MENDOZAT,35.532045,-108.618751
10534,MENDOZA,,
10535,ALLISON2,,
10546,INNOVATION,,
10547,BLACKWTR MP,,
10548,BLACKWTR A2,,
10549,BLACKWTR-SC,,
10552,JEC_SPV1,,
10553,HAWKINS2,35.159755,-106.594779
10555,LA_MORADA,35.113386,-106.727072
10556,LA_MORADA,,
10557,SANJUAN_SS,,
10559,SJ_23_SSERV,,
10561,JEC_SPV1-C,,
10562,JEC,,
10563,JEC,,
10564,JEC_BES,,
10565,JEC_BES-C,,
10566,JEC_SPV2,,
10567,JEC_SPV2-C,,
10568,PETROGLYPH,,
10569,PETROGLYPH,,
10630,ARROYO_POI,,
10631,ARROY_STA,,
10632,ARROY_C1,,
10633,ARROY_C1A,,
10634,ARROY_C1B,,
10635,ARRRIO11,,
10636,ARROY_BS1,,
10637,ARROY_C2,,
10638,ARROY_C2A,,
10639,ARROY_C2B,,
10641,ARROY_BS2,,
10701,PARADIS2,35.180002,-106.671651
10709,RT66_POI,,
10710,RT66_HV,,
10711,RT66_MV1,,
10712,RT66_MV2,,
10713,RT66_TER,,
10714,RT66_INT,,
10715,RT66_G1,,
10716,RT66_G2,,
10717,RT66_GINT,,
10721,ENCINO_SOLAR,35.354921,-106.854827
10722,ENCINO_SOL1,,
10723,ENCINO_SOL2,,
10724,ENCINO_SOLG,,
10732,BRITTON_SOL1,,
10733,BRITTON_SOL2,,
10734,BRITTON_SOLG,,
10842,JICARILLA,36.326971,-107.277973
10843,JICARILLA,36.326971,-107.277973
10856,RC2,,
10857,DM SUBLOW1,,
10858,DM GSU HIGH,,
10859,DM 2.3,,
10860,TC1 2.3,,
10861,RC1,,
10868,LAJOYA_STA,,
10869,LAJOYA_COL1,,
10870,CLNCRN_1,34.718494,-105.343764
10871,LAJOYA,34.616154,-105.646745
10872,LAJOYA_3A,,
10873,LAJOYA_4A,,
10874,LAJOY_SE1_WG,,
10875,LAJOYA_COL2,,
10876,LAJOY_GE2GSU,,
10877,LAJOY_SE2GSU,,
10878,LAJOY_GE2_WG,,
10879,LAJOYA_2A,,
10880,LAJOYA_1B,,
10881,LAJOYA_2B,,
10882,LAJOYAG1,,
10883,LAJOYAG2,,
10884,WSPIRIT4,,
10885,TC1 GSU HIGH,,
10886,RC SUBLOW1,,
10887,WSPIRIT1A,,
10888,CC2 GSU HIGH,,
10889,CC2,,
10890,WSPIRIT2A,,
10891,WSPIRIT2B,,
10892,WSPIRIT2,,
10893,WSPIRIT3A,,
10894,WSPIRIT3B,,
10895,CC1,,
10896,WSPIRIT5A,,
10897,TC2 GSU HIGH,,
10898,WSPIRIT5,,
10899,VEF,34.612782,-106.731355
10900,ARAGONNE_MV2,,
10901,ARAGONNE_LV1,,
10905,RC SUBLOW2,,
10906,REDMESA,35.273057,-107.35825
10910,RC2 GSU HIGH,,
10911,AR_EXP_MV2,,
10912,AR_EXP_LV1,,
10913,AR_EXP_HV,,
10914,AR_EXP_CO,,
10915,AR_EXP_MV,,
10916,AR_EXP_LV2,,
10920,DM,,
10921,CC T2 TER,,
10922,CC T1 TER,,
10923,TC T1 TER,,
10924,TC T2 TER,,
10925,RC T1 TER,,
10926,RC T2 TER,,
10927,DM T1 TER,,
10930,HLWR_1,34.472931,-105.967491
10934,HLWR_5,,
10935,HLWR_7,,
10936,HLWR_6,,
10937,HLWR_INT-BUS,,
10959,WSPIRIT,,
10960,WSPIRIT_StB,,
10961,WSPIRIT_StC,,
10962,WSPIRIT_StA,,
10963,DURAN MESA,,
10964,RC T2 SEC,,
10965,PAJARITO,,
10966,WSPIRIT6B,,
10967,WSPIRIT6,,
10968,CLINECORNER,35.092809,-105.716554
10969,EL_CABO,34.69248,-105.645211
10976,PAJWSP11,,
10977,PAJWSP12,,
10980,WSPIRIT6A,,
10981,NMCASA_WT,,
10982,NMCASA_GSULS,,
10988,DSTATCOM_LV,,
10989,SSD,,
10991,ARAGONNE,35.101026,-105.020057
10992,ARAGONNE_HV,34.812099,-105.047992
10993,ARAGONNE_CO,,
10994,ARAGONNE_MV,,
10995,ARAGONNE_LV2,,
10996,NMCASA_GSUHS,,
10997,NMCASA_WTG,,
10998,NMCASA_POI,,
10999,TAIBANMS,34.588987,-104.037679
11004,ALAMO,,
11007,AMERICAS,,
11008,AMRAD,32.5194,-106.138235
11009,AMRAD,,
11010,AMRAD,32.5194,-106.138235
11011,ANTHONY,32.024582,-106.602622
11012,ANTHONY1,,
11013,ANTHONY2,,
11014,ARR___PS,32.333059,-106.712652
11015,ARROYO,32.333059,-106.712652
11016,ARROYO1,,
11017,ARROYO,32.333059,-106.712652
11020,ASCARATE,31.759672,-106.395484
11021,ASCARATE,,
11022,ASCARATE,,
11024,AUSTIN,,
11025,AUSTIN,31.782996,-106.420011
11026,AUSTIN_1,,
11027,AUSTIN_2,,
11028,BORDERST,,
11032,MPS,31.813723,-106.178576
11033,MCNUTT,,
11034,MCNUTT2,,
11035,BUTERFLD,31.819234,-106.403919
11036,BUTERFLD,,
11037,CALIENTE,31.826234,-106.250226
11038,CALIENTE,31.826234,-106.250226
11039,CHAPARAL,32.001915,-106.406024
11040,CHAPARAL1,,
11042,MCNUTT1,,
11047,MACHOSPG,32.53844,-107.493524
11049,COPPER,31.757011,-106.374432
11050,COPPER,,
11051,COPPER_G,,
11052,COYOTE,31.783874,-106.168249
11053,COYOTE,,
11054,CROMO,31.813434,-106.539136
11055,CROMO1,,
11056,CROMO2,,
11058,DALLAS1,,
11059,DALLAS2,,
11060,DIABLO,31.805007,-106.587511
11061,DIABLO,31.805007,-106.587511
11063,DYER,31.801111,-106.442561
11064,DYER,,
11066,SPARKS,31.672359,-106.249988
11067,SPARKS1,,
11068,CALIENTE,,
11070,FABENS,,
11072,FARAH,,
11074,FARMER,,
11076,FT._BLIS,31.808434,-106.420584
11077,FT._BLIS,,
11078,HATCH,32.663771,-107.155666
11079,HATCH,,
11080,HIDALGO,32.404209,-108.598599
11082,HORIZON,31.690164,-106.216005
11083,HORIZON,,
11085,LANE___#,31.722043,-106.304579
11086,LANE,,
11087,LARGO,32.622673,-106.139187
11088,LAS_CRUC,32.310922,-106.768351
11089,LASCRUC1,,
11090,LASCRUC2,,
11091,NE1T1,,
11092,LEO2,,
11093,LUNA,32.303757,-107.779403
11095,MANN_1,,
11096,MANN_2,,
11097,MAR,32.633477,-106.329893
11098,MAR,,
11100,MESA_1,,
11101,MESA_2,,
11102,NE1T2,,
11103,MILAGRO,31.901491,-106.423181
11104,MILAGRO1,,
11105,MONTOYA,31.879736,-106.585507
11106,MONTOYA1,,
11107,MONTOYA2,,
11108,MOONGATE,,
11109,MONTOYA3,,
11110,NEWMAN,31.9841,-106.433164
11111,NEWMAN,31.9841,-106.433164
11118,MONTWOOD,31.769163,-106.233529
11119,MONTWOOD1,,
11120,CLINT,,
11121,MOONGATE,,
11122,ORO_GRAN,32.405633,-106.141882
11124,PHELPS_D,,
11125,PICACHO,,
11126,NE1,,
11131,RIO_GRAN,31.805797,-106.547747
11132,RIO_GRAN,,
11135,RIOGD_G8,,
11136,SALOPEK,32.246659,-106.731548
11137,SALOPEK1,,
