plant_code,plant_code_unique,plant_name,generator_id,state,county,ba,nerc_region,azimuth,tilt,system_capacity,module_type,array_type,lat,lon,losses
63472,63472,Cycz Solar Project CSG Hybrid,CYCZ,MA,Worcester,ISNE,NPCC,171,25,2000,0,0,42.218,-71.9761,14
63473,63473,West A&B Solar Project Hybrid CSG,WEST,MA,Worcester,ISNE,NPCC,14,26,2500,0,0,42.0748,-72.0038,14
63474,63474,Annese Solar Project Hybrid CSG,ANNES,MA,Worcester,ISNE,NPCC,13,26,4300,0,0,42.0755,-72.0052,14
63477,63477,Alcalde Solar Array,SOLAR,NM,Rio Arriba,PNM,WECC,180,36.091143,2400,0,2,36.091143,-106.040879,14
63480,63480,Roberds Garden CSG,RPRG,MN,Rice,MISO,MRO,180,20,1000,0,0,44.29946,-93.239088,14
63481,63481,Clear Garden CSG,RPCG,MN,Waseca,MISO,MRO,180,20,1000,0,0,44.035361,-93.494894,14
63484,63484,Gohman Community Solar (CSG),GOHMN,MN,Sherburne,MISO,MRO,180,30,1100,0,0,45.435683,-94.044799,14
63486,63486,D'Arrigo Brothers - Phase 4,DA04,CA,Monterey,CISO,WECC,180,20,1700,0,2,36.616,-121.636,14
63493,63493,PSREC/SIAD Solar,SIAD,CA,Lassen,CISO,WECC,0,0,2500,0,2,40.15006,-120.123352,14
63496,63496,Frederick County - Landfill,PV1,MD,Frederick,PJM,RFC,180,25,2000,0,0,39.373263,-77.34985,14
63497,63497,Calabro Airport North Solar Project,NORTH,NY,Suffolk,NYIS,NPCC,180,25,1300,0,0,40.8224,-72.875,14
63498,63498,Calabro Airport South Solar Project,SOUTH,NY,Suffolk,NYIS,NPCC,180,20,1200,0,0,40.811524,-72.857053,14
63499,63499,Choctaw Nation Solar Farm,CVS1,OK,Bryan,SWPP,MRO,180,60,5000,0,2,33.968856,-96.434578,14
63500,63500,Chickasaw Nation Solar Farm,CVS1,OK,Murray,SWPP,MRO,180,60,5000,0,2,34.47741,-97.105237,14
63503,63503,Lakehurst Solar,LAKHS,NJ,Ocean,PJM,RFC,180,20,9600,0,0,40.024,-74.312,14
63505,63505,Cherry Blossom Solar LLC,CB,SC,Williamsburg,CPLE,SERC,90,90,10000,0,2,33.762185,-79.458012,14
63510,63510,Walnut Unified School District Walnut HS Hybrid,PV1,CA,Los Angeles,CISO,WECC,260,5,1800,0,0,34.02188,-117.85051,14
63511,63511,Mohonasen Central School District,PV1,NY,Schenectady,NYIS,NPCC,180,25,1100,0,0,42.767228,-73.956847,14
63512,63512,Wor-Wic Community College - Offsite,PV1,MD,Wicomico,PJM,RFC,180,25,2000,0,0,38.413274,-75.690118,14
63514,63514,Moonlight Packing - Phase 2,MLO2,CA,Fresno,CISO,WECC,180,20,1400,0,0,36.585794,-119.469986,14
63516,63516,California City,CACTY,CA,Kern,CISO,WECC,180,35.157,1900,0,2,35.157,-117.981,14
63519,63519,CED Crane Solar,CRN1,TX,Crane,ERCO,TRE,180,52,150000,0,2,31.254361,-102.31165,14
63520,63520,PA Solar Park II,PASP2,PA,Carbon,PJM,RFC,180,25,10000,0,0,40.86159,-75.84656,14
63523,63523,Spruce - WCMD - Rubble II,GEN1,MD,Washington,PJM,RFC,0,25,2000,0,0,39.62143,-77.82543,14
63524,63524,Spruce - WCMD - Rubble I,GEN1,MD,Washington,PJM,RFC,0,25,2000,0,0,39.61849,-77.82332,14
